,virus,Start,End,Score
57,nc_045512.2.fasta.S15-30_L3-10_M3.pal,285,295,0
58,nc_045512.2.fasta.S15-30_L3-10_M3.pal,290,300,0
59,nc_045512.2.fasta.S15-30_L3-10_M3.pal,295,305,0
60,nc_045512.2.fasta.S15-30_L3-10_M3.pal,300,310,0
61,nc_045512.2.fasta.S15-30_L3-10_M3.pal,305,315,0
62,nc_045512.2.fasta.S15-30_L3-10_M3.pal,310,320,0
63,nc_045512.2.fasta.S15-30_L3-10_M3.pal,315,325,0
64,nc_045512.2.fasta.S15-30_L3-10_M3.pal,320,330,0
65,nc_045512.2.fasta.S15-30_L3-10_M3.pal,325,335,0
66,nc_045512.2.fasta.S15-30_L3-10_M3.pal,330,340,0
67,nc_045512.2.fasta.S15-30_L3-10_M3.pal,335,345,0
68,nc_045512.2.fasta.S15-30_L3-10_M3.pal,340,350,0
69,nc_045512.2.fasta.S15-30_L3-10_M3.pal,345,355,0
70,nc_045512.2.fasta.S15-30_L3-10_M3.pal,350,360,0
71,nc_045512.2.fasta.S15-30_L3-10_M3.pal,355,365,0
72,nc_045512.2.fasta.S15-30_L3-10_M3.pal,360,370,0
73,nc_045512.2.fasta.S15-30_L3-10_M3.pal,365,375,0
74,nc_045512.2.fasta.S15-30_L3-10_M3.pal,370,380,0
75,nc_045512.2.fasta.S15-30_L3-10_M3.pal,375,385,0
76,nc_045512.2.fasta.S15-30_L3-10_M3.pal,380,390,0
77,nc_045512.2.fasta.S15-30_L3-10_M3.pal,385,395,0
78,nc_045512.2.fasta.S15-30_L3-10_M3.pal,390,400,0
79,nc_045512.2.fasta.S15-30_L3-10_M3.pal,395,405,0
80,nc_045512.2.fasta.S15-30_L3-10_M3.pal,400,410,0
81,nc_045512.2.fasta.S15-30_L3-10_M3.pal,405,415,0
82,nc_045512.2.fasta.S15-30_L3-10_M3.pal,410,420,0
83,nc_045512.2.fasta.S15-30_L3-10_M3.pal,415,425,0
84,nc_045512.2.fasta.S15-30_L3-10_M3.pal,420,430,0
85,nc_045512.2.fasta.S15-30_L3-10_M3.pal,425,435,0
86,nc_045512.2.fasta.S15-30_L3-10_M3.pal,430,440,0
87,nc_045512.2.fasta.S15-30_L3-10_M3.pal,435,445,0
88,nc_045512.2.fasta.S15-30_L3-10_M3.pal,440,450,0
89,nc_045512.2.fasta.S15-30_L3-10_M3.pal,445,455,0
90,nc_045512.2.fasta.S15-30_L3-10_M3.pal,450,460,0
91,nc_045512.2.fasta.S15-30_L3-10_M3.pal,455,465,0
92,nc_045512.2.fasta.S15-30_L3-10_M3.pal,460,470,0
93,nc_045512.2.fasta.S15-30_L3-10_M3.pal,465,475,0
94,nc_045512.2.fasta.S15-30_L3-10_M3.pal,470,480,0
95,nc_045512.2.fasta.S15-30_L3-10_M3.pal,475,485,0
96,nc_045512.2.fasta.S15-30_L3-10_M3.pal,480,490,0
97,nc_045512.2.fasta.S15-30_L3-10_M3.pal,485,495,0
98,nc_045512.2.fasta.S15-30_L3-10_M3.pal,490,500,0
99,nc_045512.2.fasta.S15-30_L3-10_M3.pal,495,505,0
100,nc_045512.2.fasta.S15-30_L3-10_M3.pal,500,510,0
101,nc_045512.2.fasta.S15-30_L3-10_M3.pal,505,515,0
102,nc_045512.2.fasta.S15-30_L3-10_M3.pal,510,520,0
103,nc_045512.2.fasta.S15-30_L3-10_M3.pal,515,525,0
104,nc_045512.2.fasta.S15-30_L3-10_M3.pal,520,530,0
105,nc_045512.2.fasta.S15-30_L3-10_M3.pal,525,535,0
106,nc_045512.2.fasta.S15-30_L3-10_M3.pal,530,540,0
107,nc_045512.2.fasta.S15-30_L3-10_M3.pal,535,545,0
108,nc_045512.2.fasta.S15-30_L3-10_M3.pal,540,550,0
109,nc_045512.2.fasta.S15-30_L3-10_M3.pal,545,555,0
110,nc_045512.2.fasta.S15-30_L3-10_M3.pal,550,560,0
111,nc_045512.2.fasta.S15-30_L3-10_M3.pal,555,565,0
112,nc_045512.2.fasta.S15-30_L3-10_M3.pal,560,570,0
113,nc_045512.2.fasta.S15-30_L3-10_M3.pal,565,575,0
114,nc_045512.2.fasta.S15-30_L3-10_M3.pal,570,580,0
115,nc_045512.2.fasta.S15-30_L3-10_M3.pal,575,585,0
116,nc_045512.2.fasta.S15-30_L3-10_M3.pal,580,590,0
117,nc_045512.2.fasta.S15-30_L3-10_M3.pal,585,595,0
118,nc_045512.2.fasta.S15-30_L3-10_M3.pal,590,600,0
119,nc_045512.2.fasta.S15-30_L3-10_M3.pal,595,605,0
120,nc_045512.2.fasta.S15-30_L3-10_M3.pal,600,610,0
121,nc_045512.2.fasta.S15-30_L3-10_M3.pal,605,615,0
122,nc_045512.2.fasta.S15-30_L3-10_M3.pal,610,620,0
123,nc_045512.2.fasta.S15-30_L3-10_M3.pal,615,625,0
124,nc_045512.2.fasta.S15-30_L3-10_M3.pal,620,630,0
125,nc_045512.2.fasta.S15-30_L3-10_M3.pal,625,635,0
126,nc_045512.2.fasta.S15-30_L3-10_M3.pal,630,640,0
127,nc_045512.2.fasta.S15-30_L3-10_M3.pal,635,645,0
128,nc_045512.2.fasta.S15-30_L3-10_M3.pal,640,650,0
129,nc_045512.2.fasta.S15-30_L3-10_M3.pal,645,655,0
130,nc_045512.2.fasta.S15-30_L3-10_M3.pal,650,660,0
131,nc_045512.2.fasta.S15-30_L3-10_M3.pal,655,665,0
132,nc_045512.2.fasta.S15-30_L3-10_M3.pal,660,670,0
133,nc_045512.2.fasta.S15-30_L3-10_M3.pal,665,675,0
134,nc_045512.2.fasta.S15-30_L3-10_M3.pal,670,680,0
135,nc_045512.2.fasta.S15-30_L3-10_M3.pal,675,685,0
136,nc_045512.2.fasta.S15-30_L3-10_M3.pal,680,690,0
137,nc_045512.2.fasta.S15-30_L3-10_M3.pal,685,695,0
138,nc_045512.2.fasta.S15-30_L3-10_M3.pal,690,700,0
139,nc_045512.2.fasta.S15-30_L3-10_M3.pal,695,705,0
140,nc_045512.2.fasta.S15-30_L3-10_M3.pal,700,710,0
141,nc_045512.2.fasta.S15-30_L3-10_M3.pal,705,715,0
142,nc_045512.2.fasta.S15-30_L3-10_M3.pal,710,720,0
143,nc_045512.2.fasta.S15-30_L3-10_M3.pal,715,725,0
144,nc_045512.2.fasta.S15-30_L3-10_M3.pal,720,730,0
145,nc_045512.2.fasta.S15-30_L3-10_M3.pal,725,735,0
146,nc_045512.2.fasta.S15-30_L3-10_M3.pal,730,740,0
147,nc_045512.2.fasta.S15-30_L3-10_M3.pal,735,745,0
148,nc_045512.2.fasta.S15-30_L3-10_M3.pal,740,750,0
149,nc_045512.2.fasta.S15-30_L3-10_M3.pal,745,755,0
150,nc_045512.2.fasta.S15-30_L3-10_M3.pal,750,760,0
151,nc_045512.2.fasta.S15-30_L3-10_M3.pal,755,765,0
152,nc_045512.2.fasta.S15-30_L3-10_M3.pal,760,770,0
153,nc_045512.2.fasta.S15-30_L3-10_M3.pal,765,775,0
154,nc_045512.2.fasta.S15-30_L3-10_M3.pal,770,780,0
155,nc_045512.2.fasta.S15-30_L3-10_M3.pal,775,785,0
156,nc_045512.2.fasta.S15-30_L3-10_M3.pal,780,790,0
157,nc_045512.2.fasta.S15-30_L3-10_M3.pal,785,795,0
158,nc_045512.2.fasta.S15-30_L3-10_M3.pal,790,800,0
159,nc_045512.2.fasta.S15-30_L3-10_M3.pal,795,805,0
160,nc_045512.2.fasta.S15-30_L3-10_M3.pal,800,810,0
161,nc_045512.2.fasta.S15-30_L3-10_M3.pal,805,815,0
162,nc_045512.2.fasta.S15-30_L3-10_M3.pal,810,820,0
163,nc_045512.2.fasta.S15-30_L3-10_M3.pal,815,825,0
164,nc_045512.2.fasta.S15-30_L3-10_M3.pal,820,830,0
165,nc_045512.2.fasta.S15-30_L3-10_M3.pal,825,835,0
166,nc_045512.2.fasta.S15-30_L3-10_M3.pal,830,840,0
167,nc_045512.2.fasta.S15-30_L3-10_M3.pal,835,845,0
168,nc_045512.2.fasta.S15-30_L3-10_M3.pal,840,850,0
169,nc_045512.2.fasta.S15-30_L3-10_M3.pal,845,855,0
170,nc_045512.2.fasta.S15-30_L3-10_M3.pal,850,860,0
171,nc_045512.2.fasta.S15-30_L3-10_M3.pal,855,865,0
172,nc_045512.2.fasta.S15-30_L3-10_M3.pal,860,870,0
173,nc_045512.2.fasta.S15-30_L3-10_M3.pal,865,875,0
174,nc_045512.2.fasta.S15-30_L3-10_M3.pal,870,880,0
175,nc_045512.2.fasta.S15-30_L3-10_M3.pal,875,885,0
176,nc_045512.2.fasta.S15-30_L3-10_M3.pal,880,890,0
177,nc_045512.2.fasta.S15-30_L3-10_M3.pal,885,895,0
178,nc_045512.2.fasta.S15-30_L3-10_M3.pal,890,900,0
179,nc_045512.2.fasta.S15-30_L3-10_M3.pal,895,905,0
180,nc_045512.2.fasta.S15-30_L3-10_M3.pal,900,910,0
181,nc_045512.2.fasta.S15-30_L3-10_M3.pal,905,915,0
182,nc_045512.2.fasta.S15-30_L3-10_M3.pal,910,920,0
183,nc_045512.2.fasta.S15-30_L3-10_M3.pal,915,925,0
184,nc_045512.2.fasta.S15-30_L3-10_M3.pal,920,930,0
185,nc_045512.2.fasta.S15-30_L3-10_M3.pal,925,935,0
186,nc_045512.2.fasta.S15-30_L3-10_M3.pal,930,940,0
187,nc_045512.2.fasta.S15-30_L3-10_M3.pal,935,945,0
188,nc_045512.2.fasta.S15-30_L3-10_M3.pal,940,950,0
189,nc_045512.2.fasta.S15-30_L3-10_M3.pal,945,955,0
190,nc_045512.2.fasta.S15-30_L3-10_M3.pal,950,960,0
191,nc_045512.2.fasta.S15-30_L3-10_M3.pal,955,965,0
192,nc_045512.2.fasta.S15-30_L3-10_M3.pal,960,970,0
193,nc_045512.2.fasta.S15-30_L3-10_M3.pal,965,975,0
194,nc_045512.2.fasta.S15-30_L3-10_M3.pal,970,980,0
195,nc_045512.2.fasta.S15-30_L3-10_M3.pal,975,985,0
196,nc_045512.2.fasta.S15-30_L3-10_M3.pal,980,990,0
197,nc_045512.2.fasta.S15-30_L3-10_M3.pal,985,995,0
198,nc_045512.2.fasta.S15-30_L3-10_M3.pal,990,1000,0
199,nc_045512.2.fasta.S15-30_L3-10_M3.pal,995,1005,0
200,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1000,1010,0
201,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1005,1015,0
202,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1010,1020,0
203,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1015,1025,0
204,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1020,1030,0
205,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1025,1035,0
206,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1030,1040,0
207,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1035,1045,0
208,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1040,1050,0
209,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1045,1055,0
210,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1050,1060,0
211,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1055,1065,0
212,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1060,1070,0
213,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1065,1075,0
214,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1070,1080,0
215,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1075,1085,0
216,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1080,1090,0
217,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1085,1095,0
218,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1090,1100,0
219,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1095,1105,0
220,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1100,1110,0
221,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1105,1115,0
222,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1110,1120,0
223,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1115,1125,0
224,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1120,1130,0
225,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1125,1135,0
226,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1130,1140,0
227,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1135,1145,0
228,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1140,1150,0
229,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1145,1155,0
230,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1150,1160,0
231,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1155,1165,0
232,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1160,1170,0
233,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1165,1175,0
234,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1170,1180,0
235,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1175,1185,0
236,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1180,1190,0
237,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1185,1195,0
238,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1190,1200,0
239,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1195,1205,0
240,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1200,1210,0
241,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1205,1215,0
242,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1210,1220,0
243,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1215,1225,1
244,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1220,1230,1
245,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1225,1235,1
246,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1230,1240,1
247,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1235,1245,1
248,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1240,1250,1
249,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1245,1255,1
250,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1250,1260,1
251,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1255,1265,1
252,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1260,1270,0
253,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1265,1275,0
254,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1270,1280,0
255,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1275,1285,0
256,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1280,1290,0
257,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1285,1295,0
258,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1290,1300,0
259,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1295,1305,0
260,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1300,1310,0
261,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1305,1315,0
262,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1310,1320,0
263,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1315,1325,0
264,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1320,1330,0
265,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1325,1335,0
266,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1330,1340,0
267,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1335,1345,0
268,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1340,1350,0
269,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1345,1355,0
270,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1350,1360,0
271,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1355,1365,0
272,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1360,1370,0
273,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1365,1375,0
274,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1370,1380,0
275,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1375,1385,0
276,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1380,1390,0
277,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1385,1395,0
278,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1390,1400,0
279,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1395,1405,0
280,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1400,1410,0
281,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1405,1415,0
282,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1410,1420,0
283,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1415,1425,0
284,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1420,1430,0
285,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1425,1435,0
286,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1430,1440,0
287,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1435,1445,0
288,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1440,1450,0
289,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1445,1455,0
290,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1450,1460,0
291,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1455,1465,0
292,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1460,1470,0
293,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1465,1475,0
294,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1470,1480,0
295,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1475,1485,0
296,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1480,1490,0
297,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1485,1495,0
298,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1490,1500,0
299,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1495,1505,0
300,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1500,1510,0
301,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1505,1515,0
302,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1510,1520,0
303,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1515,1525,0
304,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1520,1530,0
305,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1525,1535,0
306,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1530,1540,0
307,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1535,1545,0
308,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1540,1550,0
309,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1545,1555,0
310,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1550,1560,0
311,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1555,1565,0
312,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1560,1570,0
313,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1565,1575,0
314,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1570,1580,0
315,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1575,1585,0
316,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1580,1590,0
317,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1585,1595,0
318,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1590,1600,0
319,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1595,1605,0
320,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1600,1610,0
321,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1605,1615,0
322,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1610,1620,0
323,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1615,1625,0
324,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1620,1630,0
325,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1625,1635,0
326,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1630,1640,0
327,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1635,1645,0
328,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1640,1650,0
329,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1645,1655,0
330,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1650,1660,0
331,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1655,1665,0
332,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1660,1670,0
333,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1665,1675,0
334,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1670,1680,0
335,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1675,1685,0
336,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1680,1690,0
337,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1685,1695,0
338,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1690,1700,0
339,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1695,1705,0
340,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1700,1710,0
341,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1705,1715,0
342,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1710,1720,0
343,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1715,1725,0
344,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1720,1730,0
345,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1725,1735,0
346,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1730,1740,0
347,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1735,1745,0
348,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1740,1750,0
349,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1745,1755,0
350,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1750,1760,0
351,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1755,1765,0
352,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1760,1770,0
353,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1765,1775,0
354,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1770,1780,0
355,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1775,1785,0
356,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1780,1790,0
357,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1785,1795,0
358,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1790,1800,0
359,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1795,1805,0
360,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1800,1810,0
361,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1805,1815,0
362,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1810,1820,0
363,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1815,1825,0
364,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1820,1830,0
365,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1825,1835,0
366,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1830,1840,0
367,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1835,1845,0
368,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1840,1850,0
369,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1845,1855,0
370,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1850,1860,0
371,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1855,1865,0
372,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1860,1870,0
373,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1865,1875,0
374,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1870,1880,0
375,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1875,1885,0
376,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1880,1890,0
377,nc_045512.2.fasta.S15-30_L3-10_M3.pal,1885,1895,0
